inn,name,revenue_year,revenue,segment_tag,source,okved_main,employees,region,site,phone,email
1646041074,"ООО ""РЕКЛАМНЫЙ ВЕСТНИК""",2024,20300000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,,Краснодар,rtv-complex.ru,+7 919 975-90-00,cocucka55@ya.ru
2320173750,"ООО ""РД МАКСИМА-ЮГ""",2024,11700000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1.0,Краснодар,,+7 862 296-99-89,kuzmina@ra-maxima.ru
3665818828,"ООО ""А-МЕДИА ПРО""",2024,29200000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,6.0,Красноярск,,,mmps@mail.ru
8602067800,"ООО ""ТРИ""А""-МЕДИА""",2024,18500000.0,BTL,checko_custom_parser,Деятельность рекламная,,Красноярск,3-a-media.ru,+7 346 247-52-51,vedruss@inbox.ru
5404449182,"ООО ""А МЕДИА МИКС""",2024,16800000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Красноярск,,+7 913 907-21-67,mediamix.1@mail.ru
7715764776,"ООО ""МЕДИА-ГРУППА ""А-МЕДИА""",2024,7000000.0,BTL,checko_custom_parser,Деятельность рекламная,1.0,Красноярск,,+7 915 195-44-79,amedia5@mail.ru
9710096078,"ООО ""А-МЕДИА""",2024,6400000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Красноярск,,,info@epic-name.ru
3665808298,"ООО ""А-МЕДИА""",2024,1900000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,0.0,Красноярск,,,
2706032103,"ООО ""А-МЕДИА""",2024,631000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,0.0,Красноярск,,,loveradio@amurskfm.ru
6316274440,"ООО ""А МЕДИА""",2024,,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Красноярск,,,
2460236802,"ООО ""А-МЕДИА""",2024,,BTL,checko_custom_parser,Деятельность рекламных агентств,0.0,Красноярск,24amedia.ru,+7 391 242-90-52,info@24amedia.ru
6165118975,"ООО ""А. С. МЕДИА""",2024,,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Красноярск,,+7 918 555-00-80,irenros@ya.ru
7703422680,"ООО ""ЭДВАНС МЕДИА ГРУП""",2024,339000000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,5.0,Москва,,,
7704388255,"ООО ""СОВА""",2024,1700000000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,10.0,Москва,,+7 495 228-20-80,rst1872@gmail.com
9728092243,"ООО ""СОВА НА БАЛКОНЕ""",2024,174000000.0,MERCH|BTL|SUVENIR,checko_custom_parser,"Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах",0.0,Москва,,,susangemini@foxmail.com
7203507110,"ООО ""КОЛЛ ЦЕНТР-СОВА""",2024,118800000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Деятельность центров обработки телефонных вызовов,,Москва,,,sova.kool-centr@mail.ru
1659162460,"ООО ""СОВА""",2024,44800000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,8.0,Москва,,,buh@lnservice.ru
7805819518,"ООО ""ЭКСПО ГРУППА ""СОВА""",2024,32900000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Деятельность по организации конференций и выставок,1.0,Москва,,+7 950 047-83-40,sovaexpo@mail.ru
1004012111,"ООО ""СОВА""",2024,31400000.0,MERCH|BTL|SUVENIR,checko_custom_parser,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",7.0,Москва,,+7 814 597-75-74,pchelka@onego.ru
1402022616,"ООО ""СОВА""",2024,25500000.0,MERCH|BTL|SUVENIR,checko_custom_parser,"Торговля розничная изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах",1.0,Москва,,,
7714490949,"ООО ""СОВА МОТОРС""",2024,3200000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Деятельность головных офисов,10.0,Москва,,,
2540202527,"ООО ""СОВА""",2024,18400000.0,MERCH|BTL|SUVENIR,checko_custom_parser,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",,Москва,,,hide-vostok@yandex.ru
7722821961,"ООО РПК ""ШЁЛКОВАЯ СОВА""",2024,18200000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Прочие виды полиграфической деятельности,9.0,Москва,rpk-grani.ru,+7 916 165-46-05,sovasilk@mail.ru
7726406250,"ООО ""НЬЮ ВОРЛД""",2024,286000000.0,BTL|MERCH,checko_custom_parser,Деятельность по организации конференций и выставок,67.0,Москва,,,
2465231558,"ООО ""АЛЯСКА""",2024,32900000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Красноярск,,+7 391 259-59-91,mail@alaska24.ru
4205354110,"ООО ""САМОГОНЪ-Б12""",2024,,BTL|MERCH,checko_custom_parser,Торговля розничная прочая в неспециализированных магазинах,1.0,Краснодар,,,samogon-b12@mail.ru
7813604450,"ООО ""МАСТЕР ИН СТРАНА""",2024,518299999.0,BTL,checko_custom_parser,Деятельность рекламных агентств,9.0,Санкт-Петербург,master-in.ru,+7 495 255-06-07,
5404314964,"ООО ""ЦЕНТР ПРОДВИЖЕНИЯ""",2024,128300000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,6.0,Нижний Новгород,,,
5029257897,"ООО ""ЦЕНТР ПРОДВИЖЕНИЯ""",2024,12800000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,,Нижний Новгород,,,
5262135928,"ООО ""ЦЕНТР ДИЗАЙНА И ПРОДВИЖЕНИЯ""",2024,10800000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Исследование конъюнктуры рынка и изучение общественного мнения,,Нижний Новгород,,+7 831 463-98-76,centr-pr@yandex.ru
7704357962,"ООО ""ЦЕНТР ВНЕШНЕЭКОНОМИЧЕСКИХ ИНИЦИАТИВ""",2024,,MERCH|BTL|SUVENIR,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,0.0,Нижний Новгород,,,
5260216040,"ООО ""ЦЕНТР ПРОДВИЖЕНИЯ-НН""",2024,0.0,MERCH|BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,1.0,Нижний Новгород,арт-грядка.рф,,info@prorek.ru
7710633064,"ООО ""ИНТЕНСИВ""",2024,171300000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,11.0,Москва,in10sive.ru,+7 495 229-12-44,info@in10sive.ru
7718899299,"ООО ""ИНТЕНСИВ МАРКЕТИНГ""",2024,56700000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,8.0,Москва,,,info@in10sive.ru
9701264897,"ООО ""ИНТЕНСИВ ПРОДАКШН""",2024,9900000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,0.0,Москва,,,vsiachina@mail.ru
2308302488,"ООО ""ИНТЕНСИВ""",2024,,BTL|MERCH,checko_custom_parser,Деятельность в сфере связей с общественностью,,Москва,,,ddp0236@mail.ru
2801277819,"ООО ""ОКЕЙ КОММ""",2024,494000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Благовещенск,,,okbtl@mail.ru
7814706687,"ООО ""АС ""ИДЕЯ""",2024,117900000.0,BTL,checko_custom_parser,Исследование конъюнктуры рынка и изучение общественного мнения,9.0,Чебоксары,,,
6732003441,"ООО ""ИДЕЯ""",2024,94400000.0,BTL,checko_custom_parser,Деятельность рекламная,10.0,Чебоксары,,+7 920 663-47-65,ostrovsv@mail.ru
7708404483,"ООО ""ИДЕЯ""",2024,54800000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Чебоксары,,,info@mosreklama.net
6623112835,"ООО ""ИДЕЯ""",2024,46900000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,7.0,Чебоксары,ra-idea.com,+7 912 208-84-37,crt_ideya@mail.ru
5407478488,"ООО ""ИДЕЯ НОВА""",2024,31200000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,10.0,Чебоксары,ideanova.agency,,hi@ideanova.agency
9715395314,"ООО ""ИДЕЯ ГРАНДЕ КОММУНИКЕЙШЕНЗ ГРУП""",2024,12300000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Чебоксары,,,evlentieva@ideagrande.com
5904186904,"ООО ""ИДЕЯ""",2024,20700000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Чебоксары,,+7 992 204-62-68,ideainfo.perm@mail.ru
4205394000,"ООО ""ИДЕЯ ПЛЮС""",2024,16600000.0,BTL,checko_custom_parser,Деятельность в сфере связей с общественностью,7.0,Чебоксары,,,rustam.iskandarov.96@bk.ru
272903619,"ООО ""ИДЕЯ ГРУПП""",2024,14800000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,6.0,Чебоксары,,+7 919 152-76-03,
7743231480,"ООО ""АПЕРКОМ""",2024,240900000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,9.0,Москва,upper.com.ru,,
7726372393,"ООО ""СЕРВИЗОРИЯ""",2024,323400000.0,BTL|MERCH,checko_custom_parser,Исследование конъюнктуры рынка и изучение общественного мнения,29.0,Москва,,+7 915 044-54-27,info@4service.ru
7717549735,"ООО ""ХОРОШИЕ ЛЮДИ""",2024,16000.0,BTL|MERCH,checko_custom_parser,"Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки",0.0,Москва,,,
1624018787,"ООО ""ХК ""ХОРОШИЕ ЛЮДИ""",2024,,BTL|MERCH,checko_custom_parser,Деятельность головных офисов,0.0,Москва,,,goodpeople24@ya.ru
6672339370,"ООО ""ХОРОШИЕ ЛЮДИ""",2024,0.0,BTL|MERCH,checko_custom_parser,"Торговля розничная, осуществляемая непосредственно при помощи информационно-коммуникационной сети Интернет",1.0,Москва,horoshie-ludi.ru,+7 922 023-52-87,msg-al@yandex.ru
3849009760,"ООО ""ХОРОШИЕ ЛЮДИ""",2024,,BTL|MERCH,checko_custom_parser,Торговля розничная книгами в специализированных магазинах,1.0,Москва,,+7 914 947-75-88,kadr@pressa.irk.ru
8603253983,"ООО ""ХОРОШИЕ ЛЮДИ""",2024,,BTL|MERCH,checko_custom_parser,"Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах",,Москва,,,rudevichmax@yandex.ru
7731420204,"ООО ""РУССМАРКЕТ""",2024,1000000000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,11.0,Москва,russ-market.ru,,sales@russ-market.ru
7721593790,"ООО ""РУССМАРКЕТ""",2024,22500000.0,MERCH|BTL|SUVENIR,checko_custom_parser,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",,Москва,,,a_nelson@mail.ru
5001102340,"ООО ""РУССМАРКЕТ""",2024,8000000.0,MERCH|BTL|SUVENIR,checko_custom_parser,Торговля розничная напитками в специализированных магазинах,,Москва,,,russmarket2015@yandex.ru
9715239509,"ООО ""АЙКОНИКОЛОР""",2024,438500000.0,BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,12.0,Москва,,,
7734351301,"ООО ""КРЕОН РА""",2024,262500000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,10.0,Москва,creonagency.ru,,rudenkoivane@mail.ru
7736305276,"ООО ""КРЕОН ПМ""",2024,,BTL,checko_custom_parser,Исследование конъюнктуры рынка и изучение общественного мнения,,Москва,,,sm@creonenergy.ru
2320220270,"ООО ""ТК ""ПАПА КАРЛО""",2024,470200000.0,BTL|MERCH,checko_custom_parser,"Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах",27.0,Москва,papakarlosochi.ru,+7 862 295-51-75,buh@papakarlosochi.ru
5611084596,"ООО ""ПАПА КАРЛО""",2024,9000000.0,BTL|MERCH,checko_custom_parser,Торговля розничная прочая в неспециализированных магазинах,,Москва,,,
800011629,"ООО ""ПАПА КАРЛО""",2024,2700000.0,BTL|MERCH,checko_custom_parser,Торговля розничная по почте или по информационно-коммуникационной сети Интернет,0.0,Москва,,,
7802823604,"ООО ""ПАПА КАРЛО""",2024,2100000.0,BTL|MERCH,checko_custom_parser,"Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах",1.0,Москва,papakarlo-spb.ru,+7 921 945-84-11,chepchikova@rambler.ru
6670430659,"ООО ""ПАПА КАРЛО-ЕКБ""",2024,,BTL|MERCH,checko_custom_parser,Торговля розничная прочая в неспециализированных магазинах,0.0,Москва,,+7 909 009-95-85,
4000030891,"ООО ""ПАПА КАРЛО""",2024,,BTL|MERCH,checko_custom_parser,"Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах",,Москва,,,vikulya.kozlova.1984@bk.ru
9725120573,"ООО ""АЛЕКС ПРОМО МСК""",2024,17200000.0,MERCH|BTL|SUVENIR,checko_custom_parser,"Производство прочих готовых изделий, не включенных в другие группировки",0.0,Москва,,,office@alex-promo.ru
9715408700,"ООО ""АЙ-ЭКШН""",2024,77100000.0,BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,10.0,Москва,,,m.zaretskaya@i-actions.ru
7814676231,"ООО ""АДВИТЕРРА СПБ""",2024,12800000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1.0,Санкт-Петербург,,+7 812 702-69-79,info@adviterra.ru
7703352200,"ООО ""ЧЕЙЛ РУС""",2024,1400000000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,59.0,Москва,cheil.ru,+7 495 797-25-16,a.galimova@samsung.com
7706696551,"ООО ""ЭКТИВЕЙТ""",2024,167800000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,6.0,Москва,active8.ru,,hello@active8.ru
7716623513,"ООО ""РЕВОЛЮШН""",2024,342100000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,27.0,Москва,revolution-marketing.ru,+7 495 640-55-99,info@revolution-marketing.ru
9701197030,"ООО ""РЕВОЛЮШН ТРЕЙД""",2024,31700000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1.0,Москва,,,
5905282495,"ООО ""РЕВОЛЮШН МЕДИА""",2024,9700000.0,BTL|MERCH,checko_custom_parser,"Торговля розничная, осуществляемая непосредственно при помощи информационно-коммуникационной сети Интернет",,Москва,,+7 342 215-10-13,d.aitov@servise.su
9729045013,"ООО ""ПЛАНОГРАММА""",2024,332500000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,8.0,Москва,,,info@plano-gramma.ru
7810907150,"ООО ""НЕВСКИЙ ШОКОЛАД""",2024,264600000.0,BTL|MERCH,checko_custom_parser,"Торговля розничная кондитерскими изделиями, включая шоколад, в специализированных магазинах",12.0,Санкт-Петербург,,,santipova@mail.ru
9714030470,"ООО ""ШОКОЛАД""",2024,160100000.0,BTL|MERCH,checko_custom_parser,Торговля розничная прочая в неспециализированных магазинах,12.0,Санкт-Петербург,,,7shokolad@bk.ru
9718153338,"ООО ""ШОКОЛАД""",2024,161100000.0,BTL|MERCH,checko_custom_parser,Торговля розничная кондитерскими изделиями в специализированных магазинах,,Санкт-Петербург,,,9253208@gmail.com
6679026970,"ООО ""ШОКОЛАД""",2024,75700000.0,BTL|MERCH,checko_custom_parser,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",39.0,Санкт-Петербург,,+7 922 202-08-90,olga@ural.ru
2902076690,"ООО ""ШОКОЛАД""",2024,82800000.0,BTL|MERCH,checko_custom_parser,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",7.0,Санкт-Петербург,шоколад29.рф,+7 921 720-31-75,info@шоколад29.рф
4401099636,"ООО ""ТО ""ШОКОЛАД""",2024,2900000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламная,5.0,Санкт-Петербург,,+7 910 956-01-51,
5406798206,"ООО ""ЧИЖЕГОРСКИЙ ШОКОЛАД""",2024,2000000.0,BTL|MERCH,checko_custom_parser,Торговля розничная кондитерскими изделиями в специализированных магазинах,1.0,Санкт-Петербург,чижегорский-шоколад.рф,,
6321374697,"ООО ""РА ШОКОЛАД""",2024,666000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1.0,Санкт-Петербург,rashokolad.ru,+7 927 788-85-76,ra_shokolad@mail.ru
7726581051,"ООО ""ШОКОЛАД""",2024,0.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,0.0,Санкт-Петербург,shoks.ru,+7 499 381-81-80,
7727759210,"ООО ""ИНТЕРАКТИВ""",2024,645300000.0,BTL,checko_custom_parser,Деятельность рекламная,15.0,Москва,,+7 929 676-43-19,kondrikov@yandex.ru
7714672843,"ООО ""ДЕЛЮКС ИНТЕРАКТИВ""",2024,62700000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,11.0,Москва,deluxe-interactive.ru,+7 903 961-58-98,info@deluxe-interactive.ru
7814603184,"ООО ""ПИКМЕДИА ИНТЕРАКТИВ""",2024,6900000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Москва,,,dspikin@yandex.ru
7725401620,"ООО ""Ю-ИНТЕРАКТИВ""",2024,5000000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,1.0,Москва,,,
7806367744,"ООО ""ИНТЕРАКТИВ-КОНСАЛТИНГ""",2024,3100000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,,Москва,intecon.ru,+7 812 511-51-93,palesika@mail.ru
7204083110,"ООО ""КГ ИНТЕРАКТИВ""",2024,1200000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,1.0,Москва,interaktiv72.ru,+7 345 227-20-94,interaktiv@interaktiv72.ru
3665127002,"ООО ""ИНТЕРАКТИВ""",2024,1100000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Москва,igroup.pro,,c@igroup.pro
7720400164,"ООО ""ИЗИ ИНТЕРАКТИВ""",2024,83000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Москва,,,info@easyinteractiv.ru
7702774047,"ООО ""САБАН ИНТЕРАКТИВ""",2024,50000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Москва,,,
5257143257,"ООО ""АКОСТА ГРУПП""",2024,260200000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,38.0,Нижний Новгород,acostamerch.ru,+7 831 410-94-24,
7728854561,"ООО ""ГНЕЗДО.РУ""",2024,400700000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Москва,,,nata@nox.ru
5902064788,"ООО ""К4""",2024,25300000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,8.0,Москва,,,
7842429146,"ООО ""ФОРМУЛА ""К4""",2024,18000000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Москва,,,
7743410779,"ООО ""К4 КОНСАЛТИНГ""",2024,,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,1.0,Москва,,,white.shell@bk.ru
7825382385,"ООО ""ЭР АЙ КОММУНИКЕЙШН""",2024,141400000.0,BTL|MERCH,checko_custom_parser,Исследование конъюнктуры рынка,167.0,Санкт-Петербург,ricommunication.ru,,buch@ricommunication.ru
4443025315,"ЗАО ""ПРЕЗИДЕНТ-КОНСАЛТИНГ""",2024,17700000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,9.0,Пермь,,+7 094 235-04-91,
7743391766,"ООО ""ПРЕЗИДЕНТ-СЕРВИС""",2024,,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,1.0,Пермь,,,
7707614375,"АО ""УК ""АВЕНЮ МЕНЕДЖМЕНТ""",2024,41300000.0,BTL|SUVENIR,checko_custom_parser,Деятельность по управлению финансово-промышленными группами,16.0,Владивосток,avenue-holdings.ru,+7 495 648-26-67,gorunova.iv@avenue-group.com
6163151871,"ООО ""ПЛАСТ АВЕНЮ""",2024,109900000.0,BTL|SUVENIR,checko_custom_parser,"Производство прочих изделий из пластмасс, не включенных в другие группировки, кроме устройств пломбировочных из пластика",7.0,Владивосток,plast-avenue.ru,+7 863 270-75-67,jetplast@jetplast.org
5612176440,"ООО ""АВЕНЮ""",2024,105200000.0,BTL|SUVENIR,checko_custom_parser,"Торговля розничная алкогольными напитками, кроме пива, в специализированных магазинах",16.0,Владивосток,,,maramyghina@mail.ru
5024170628,"ООО ""ХАЙ-ЭНД АВЕНЮ""",2024,62500000.0,BTL|SUVENIR,checko_custom_parser,Торговля розничная аудио- и видеотехникой в специализированных магазинах,9.0,Владивосток,,,ok@hiend.store
7709927366,"ООО ""ПЯТАЯ АВЕНЮ""",2024,56500000.0,BTL|SUVENIR,checko_custom_parser,"Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах",17.0,Владивосток,,,tatiana.mtg@yandex.ru
7453349730,"ООО ""ПАРК АВЕНЮ""",2024,50800000.0,BTL|SUVENIR,checko_custom_parser,Торговля розничная обоями и напольными покрытиями в специализированных магазинах,18.0,Владивосток,,,svetlanabaidina@gmail.com
7743362331,"ООО ""САММЕР АВЕНЮ""",2024,42900000.0,BTL|SUVENIR,checko_custom_parser,Торговля розничная по почте или по информационно-коммуникационной сети Интернет,1.0,Владивосток,,,
3661069328,"ООО ""АВЕНЮ ГРУПП""",2024,36300000.0,BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,,Владивосток,posmasters.ru,,sale@master-pos.ru
3252008927,"ООО ""АВЕНЮ""",2024,19800000.0,BTL|SUVENIR,checko_custom_parser,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",,Владивосток,,,ishutkina.valya@yandex.ru
2536178751,"ООО ""АВЕНЮ-МЕДИА""",2024,18000000.0,BTL|SUVENIR,checko_custom_parser,Деятельность рекламных агентств,0.0,Владивосток,,+7 423 277-37-35,
7814839180,"ООО ""АПМ""",2024,,BTL,checko_custom_parser,Деятельность рекламных агентств,0.0,Москва,,,
6311142739,"ООО ""ТВИН МЕДИА ГРУПП""",2024,,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1.0,Санкт-Петербург,,,
7728674590,"ООО ""ЭЙС ТАРГЕТ""",2024,1500000000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1331.0,Москва,ace-target.ru,+7 495 685-94-58,lukina@funtob.ru
9710098332,"АО ""АКГ ""ТЕХНОЛОГИИ ДОВЕРИЯ""",2024,,BTL,checko_custom_parser,Деятельность головных офисов,1.0,Москва,,,
2130012160,"ООО ""УК АКГ ""ЭТАЛОН""",2024,7300000.0,BTL,checko_custom_parser,Деятельность по управлению финансово-промышленными группами,9.0,Москва,etalon-company.ru,+7 835 245-00-55,
7820067990,"ООО ""АЛЕКС АКГ""",2024,7000000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,,Москва,,,aacg.buh@yandex.ru
5029090630,"ООО АКГ ""ОСБИ-КЛАСС""",2024,1700000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,,Москва,,+7 495 730-34-28,osbi@rambler.ru
9725020297,"ООО ""МЕДИА СЕРВИС АКГ""",2024,5200000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Москва,,,9680552@gmail.ru
